dist,radius
2805,116.8149796
2808,112.8044357
2811,108.6058273
2814.000244,105.9096451
2817.000244,105.9096451
2820.000244,107.9204559
2823.000244,112.2441254
2826,115.2276611
2830.000244,121.6350632
2833.000244,131.2490845
2836,142.1096954
2839,151.3008728
2842,163.9812469
2845,176.6447296
2848,185.5146942
2852,189.1118011
2855,189.3318024
2858,189.592865
2862,189.592865
2865,189.2181244
2868,189.2181244
2872,190.4089203
2875,191.0529938
2879.000244,192.488739
2882,194.0019989
2885,194.0019989
2889.000244,193.6149139
2892.000244,193.5004272
2896.000244,191.8108215
2899.000244,188.9334259
2903,186.3552246
2906.000244,185.5804138
2910,185.0190887
2913,185.0190887
2917,189.5211639
2920,198.3066711
2924,210.8325806
2928,221.8014069
2931,241.7381439
2935.000244,272.5308228
2939.000244,312.825592
2942.000244,355.7706299
2946,425.5542603
2950,537.6374512
2954,702.6266479
2958.000244,894.175415
2961,1044.091065
2965.000244,1376.601196
2969,1791.490601
2973,2151.662109
2977,2293.246094
2981.000244,2310.291016
2985.000244,2293.246094
2989,2257.362549
2993,2141.042481
2998.000244,2032.364136
3002,1945.184937
3006,1862.11438
3010,1773.5271
3014.000244,1680.782349
3019,1583.406372
3023,1475.63855
3027.000244,1400.702393
3031.000244,1284.102905
3036,1135.733643
3040.000244,988.5594482
3044.000244,864.5338745
3048,784.076355
3052,690.0279541
3056,600.7723999
3060.000244,528.4152832
3064.000244,474.1042175
3068,433.3551331
3072,390.5828552
3076,350.9299011
3080.000244,318.4830627
3084,294.2471313
3088,275.0467529
3092,255.8795471
3095,239.8268738
3099,228.7818146
3103.000244,222.8231506
3107,216.1000366
3111,212.027832
3115,212.027832
3119.000244,214.0688934
3123.000244,218.7333527
3127,222.1224823
3131,228.3204346
3135,236.0265198
3139.000244,242.8113098
3143.000244,246.729248
3147,252.5406494
3151,255.280304
3156.000244,255.280304
3160,251.8616791
3164,248.0838623
3168,244.5396729
3172.000244,241.011795
3176,241.011795
3180,242.8005676
3184,250.2581177
3188,255.5496826
3192.000244,268.5059814
3196,291.4234009
3200,323.7520752
3203,358.013092
3207,409.2987061
3210,409.2987061
3214,298.8276062
3217,298.8276062
3221.000244,396.3283997
3224,396.3283997
3228.000244,389.4362183
3231.000244,326.8766785
3234,282.4667358
3237,254.3393402
3241.000244,232.1127167
3244.000244,212.7239075
3247,197.91539
3251.000244,188.0909729
3254.000244,182.6788177
3257,176.4552917
3261.000244,172.4386139
3264.000244,172.4386139
3267.000244,173.6149597
3271.000244,178.6503143
3274.000244,182.6639252
3277.000244,191.2500153
3280,205.0796509
3284.000244,223.2424011
3287.000244,242.543808
3290.000244,272.3783264
3293,318.8976746
3296,387.5014038
3299,468.9801636
3301,526.4036865
3304.000244,694.223938
3307.000244,916.3122559
3309,916.3122559
3312,766.1565552
3314.000244,600.4012451
3317.000244,500.5954285
3319,398.5929871
3321,312.6400757
3323.000244,249.1695404
3325,204.8562622
3327.000244,174.421051
3329,143.3798065
3331,115.3867722
3333.000244,93.0527649
3334,76.5793686
3336,65.4437866
3338,54.0109367
3339,44.3960609
3341,37.641037
3342,33.4428368
3344,29.9214973
3345,26.9794388
3347,24.9058857
3348,23.6892414
3349,23.1120968
3350.000244,22.285574
3352,21.7635784
3353.000244,21.4924221
3354,21.3378372
3356.000244,21.1694736
3357,21.0947304
3358,20.9053192
3360.000244,20.5858326
3361,20.2443295
3362,20.0149326
3364,19.7395954
3365,19.6378117
3366.000244,19.6378117
3368,19.9674225
3369.000244,20.4870186
3370.000244,20.9047775
3372,21.6404858
3373.000244,22.5984249
3374,23.595768
3376.000244,24.5475407
3377,25.4966679
3378,26.7624664
3380,28.475666
3381,30.7057037
3383.000244,33.4495087
3385,35.8710938
3386.000244,39.8510704
3388,45.7210312
3390,53.2693214
3392.000244,61.0036201
3394,71.2566299
3396.000244,71.2566299
3398,53.2400742
3400,53.2400742
3402.000244,89.6587219
3404,89.6587219
3406.000244,89.1395569
3408,76.1209412
3410,66.4896698
3413,60.187542
3415.000244,55.4788017
3417,51.2837143
3419.000244,48.087738
3421,46.0409775
3423,45.0199776
3426,43.7440948
3428,43.057148
3430,43.057148
